Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3p6.3d2"	"3F"	"2"	""	"0"	""	
"3p6.3d2"	"3F"	"4"	""	"14000."	""	
"3p6.3d.4f"	"3G*"	"5"	""	"2209000."	""	
"Se XVI (3d 2D<3/2>)"	"Limit"	"---"	"("	"3815000"	")"	
