Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0"	""	
"2p"	"2P*"	"1/2"	"("	"675324200"	")"	
"2p"	"2P*"	"3/2"	"("	"702025200"	")"	
"2s"	"2S"	"1/2"	"("	"675732000"	")"	
"3p"	"2P*"	"1/2"	"("	"808869000"	")"	
"3p"	"2P*"	"3/2"	"("	"816838000"	")"	
"3s"	"2S"	"1/2"	"("	"809008000"	")"	
"3d"	"2D"	"3/2"	"("	"816825500"	")"	
"3d"	"2D"	"5/2"	"("	"818947800"	")"	
""	"Limit"	"---"	"("	"910134000"	")"	
