Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3d5"	"6S"	"5/2"	""	"0"	""	
"3d4.(5D).4p"	"6P*"	"3/2"	""	"497641"	""	
"3d4.(5D).4p"	"6P*"	"5/2"	""	"497881"	""	
"3d4.(5D).4p"	"6P*"	"7/2"	""	"498343"	""	
"Cu VIII (3d4 5D<0>)"	"Limit"	"---"	"["	"1121000"	"]"	
