Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5f4"	"5I"	"4"	""	"0"	""	
"Am VII (5f3.6p6 4I*<9/2>)"	"Limit"	"---"	"("	"548000"	")"	
