Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5f7.7s2"	"8S*"	"7/2"	""	"0"	""	
"Am II (5f7.7s 9S*<4>)"	"Limit"	"---"	""	"48182"	""	
