Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2p"	"2P*"	"1/2"	""	"0"	""	
"Y XXXVI (2s2 1S<0>)"	"Limit"	"---"	"["	"36169000"	"]"	
