Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5s2.5p2"	"3P"	"0"	""	"0"	""	
"Pr XI (5s2.5p 2P*<1/2>)"	"Limit"	"---"	"("	"1195000"	")"	
