Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f13.5p3"	""	""	""	"0"	""	
"Ta XI (4f13.5p2 4F*<7/2>)"	"Limit"	"---"	"("	"1451000"	")"	
