Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f9.5s2.5p2"	"*"	""	""	"0"	""	
"Dy IX (4f8.5s2.5p2)"	"Limit"	"---"	"("	"1026000"	")"	
