Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0"	""	
"2p"	"2P*"	"1/2"	"("	"513772130"	")"	
"2p"	"2P*"	"3/2"	"("	"528926230"	")"	
"2s"	"2S"	"1/2"	"("	"513992100"	")"	
"3p"	"2P*"	"1/2"	"("	"613707000"	")"	
"3p"	"2P*"	"3/2"	"("	"618222900"	")"	
"3s"	"2S"	"1/2"	"("	"613777000"	")"	
"3d"	"2D"	"3/2"	"("	"618215200"	")"	
"3d"	"2D"	"5/2"	"("	"619489200"	")"	
""	"Limit"	"---"	"("	"690526900"	")"	
