Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f6"	"7F"	"0"	""	"0"	""	
"Cf XLVIII (4f5 6H*<5/2>)"	"Limit"	"---"	"("	"18720000"	")"	
