Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4d5"	"4P"	"5/2"	""	"0"	""	
"4d5"	"6S"	"5/2"	"["	"105000"	"]+x"	
"4d5"	"4G"	"7/2"	""	"141610"	""	
"4d5"	"4G"	"5/2"	""	"246199"	"+x"	
"4d5"	"4D"	"3/2"	""	"144430"	""	
"W XXXV (4d4 3P1<0>)"	"Limit"	"---"	"["	"11185000"	"]"	
