Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2p5"	"2P*"	"3/2"	""	"0"	""	
"Pu LXXXVII (2p4 3P<2>)"	"Limit"	"---"	"("	"217108000"	")"	
