Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2p2<1/2>.2p<3/2>"	"(0,3/2)*"	"3/2"	""	"0"	""	
"Y XXXIV (2p2 3P<0>)"	"Limit"	"---"	"["	"32730000"	"]"	
