Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f7.5s2.5p5"	""	""	""	"0"	""	
"Tb VII (4f8.5s2.5p3*)"	"Limit"	"---"	"("	"729000"	")"	
