Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4d-4.4d+"	"(0,5/2)"	"5/2"	""	"0"	""	
"Th LI (4d4 5D<0>)"	"Limit"	"---"	"("	"22075000"	")"	
