Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f13.5p2"	"4F*"	"7/2"	""	"0"	"?"	
"4f14.5p"	"2P*"	"1/2"	"("	"11000"	")?"	
"W XIII (4f14 1S<0>)"	"Limit"	"---"	"["	"1868000"	"]"	
