Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2p6"	"1S"	"0"	""	"0"	""	
"Tc XXXV (2p5 2P*<3/2>)"	"Limit"	"---"	"["	"36335000"	"]"	
