Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f.5s"	"3F*"	"2"	""	"0"	""	
"Sm XVI (4f 2F*<5/2>)"	"Limit"	"---"	"("	"2230000"	")"	
