Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f14"	"1S"	"0"	""	"0"	""	
"Re XV (4f13.5s2 2F*<7/2>)"	"Limit"	"---"	"("	"2350000"	")"	
