Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3p6"	"1S"	"0"	""	"0"	""	
"3p5.3d"	"3D*"	"1"	""	"647601"	""	
"3p5.3d"	"1P*"	"1"	""	"807911"	""	
"Ga XV (3p5 2P*<3/2>)"	"Limit"	"---"	"["	"3800600"	"]"	
"3p5.4f"	"3G"	"5"	""	""	""	
"3p5.3d"	"3F*"	"4"	""	""	""	
