Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f7.5s2.5p2"	"*"	""	""	"0"	""	
"Tb X (4f6.5s2.5p2)"	"Limit"	"---"	"("	"1157000"	")"	
