Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f10.5s2.5p3"	"*"	""	""	"0"	""	
"Er IX (4f10.5s2.5p2)"	"Limit"	"---"	"("	"1060000"	")"	
