Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3p6"	"1S"	"0"	""	"0"	""	
"Nb XXV (3p5 2P*<3/2>)"	"Limit"	"---"	"["	"9485000"	"]"	
