Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f2.5s2.5p4"	""	""	""	"0"	""	
"Nd VIII (4f2.5s2.5p3*)"	"Limit"	"---"	"("	"799000"	")"	
