Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3p4"	"3P"	"2"	""	"0"	""	
"Ra LXXIV (3p3 2P*<3/2>)"	"Limit"	"---"	"("	"72945000"	")"	
