Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3s2.3p6"	"1S"	"0"	""	"0"	""	
"3s2.3p5.3d"	"3F*"	"4"	""	"530000."	"+d"	
"3s2.3p5.4f"	"3G"	"5"	""	"2769100."	"+d"	
"As XVII (3p5 2P*<3/2>)"	"Limit"	"---"	"["	"4739700"	"]"	
