Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f3"	"4I*"	"9/2"	""	"0"	""	
"Re XXVIII (4f2 3H<4>)"	"Limit"	"---"	"("	"6920000"	")"	
