Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f6.5s2.5p2"	""	""	""	"0"	""	
"Gd X (4f5.5s2.5p2*)"	"Limit"	"---"	"("	"1160000"	")"	
