Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f9.5s2.5p3"	""	""	""	"0"	""	
"Ho IX (4f10.5s2.5p*)"	"Limit"	"---"	"("	"1043000"	")"	
