Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4p4"	"3P"	"2"	""	"0"	""	
"Ac LVII (4p-2.4p+ (0,3/2)*<3/2>)"	"Limit"	"---"	"("	"27495000"	")"	
