Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2p4"	"3P"	"2"	""	"0"	""	
"Lu LXV (2p2<1/2>.2p<3/2> (0,3/2)*<3/2>)"	"Limit"	"---"	"("	"120096000"	")"	
