Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f4"	"5I"	"4"	""	"0"	""	
"Pu XLVI (4f3 4I*<9/2>)"	"Limit"	"---"	"("	"17340000"	")"	
