Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f14.5s"	"2S"	"1/2"	""	"0"	""	
"Pa XXXII (4f14 1S<0>)"	"Limit"	"---"	"("	"8530000"	")"	
