Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0"	""	
"2p"	"2P*"	"1/2"	"("	"343709100"	")"	
"2p"	"2P*"	"3/2"	"("	"350357022"	")"	
"2s"	"2S"	"1/2"	"("	"343810900"	")"	
"3p"	"2P*"	"1/2"	"("	"409463000"	")"	
"3p"	"2P*"	"3/2"	"("	"411440400"	")"	
"3s"	"2S"	"1/2"	"("	"409494100"	")"	
"3d"	"2D"	"3/2"	"("	"411436990"	")"	
"3d"	"2D"	"5/2"	"("	"412028120"	")"	
""	"Limit"	"---"	"("	"460709000"	")"	
