Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4p4"	"3P"	"2"	""	"0"	""	
"Ce XXVI (4p3 4S*<3/2>)"	"Limit"	"---"	"("	"6646000"	")"	
