Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f14.5p"	"2P*"	"1/2"	""	"0"	""	
"Bk XXXVI (4f14 1S<0>)"	"Limit"	"---"	"("	"10010000"	")"	
