Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f14.5p4"	"3P"	"2"	""	"0"	"?"	
"4f13.5p5"	"3F"	"4"	"("	"14000"	")?"	
"W X (4f14.5p3 2P*<3/2>)"	"Limit"	"---"	"["	"1292000"	"]"	
