Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4p-2.4p+"	"(0,3/2)*"	"3/2"	""	"0"	""	
"Pa LX (4p2 3P<0>)"	"Limit"	"---"	"("	"29915000"	")"	
