Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3p3"	"2P*"	"3/2"	""	"0"	""	
"Pu LXXXI (3p2 3P<0>)"	"Limit"	"---"	"("	"86543000"	")"	
