Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4d10.4f10"	"5I"	"8"	""	"0"	""	
"4d10.4f9.(6H*).5s"	"7H*"	"8"	"("	"120000"	")"	
"W XX (4f9 6H*<15/2>)"	"Limit"	"---"	"["	"3727000"	"]"	
