Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f11.5s2"	"4I*"	"15/2"	""	"0"	""	
"W XVII (4f11.5s 5I*<8>)"	"Limit"	"---"	"["	"2919000"	"]"	
