Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2p4"	"3P"	"2"	""	"0"	""	
"Pd XL (2p2<1/2>.2p<3/2> (0,3/2)*<3/2>)"	"Limit"	"---"	"["	"45834000"	"]"	
