Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4p"	"2P*"	"1/2"	""	"0"	""	
"Ag XVIII (4s2 1S<0>)"	"Limit"	"---"	"["	"3294200"	"]"	
