Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f3.5s2.5p6"	"4I*"	"9/2"	""	"0"	""	
"Sm VII (4f4.5s2.5p4)"	"Limit"	"---"	"("	"700000"	")"	
