Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4p6.4d"	"2D"	"3/2"	""	"0"	""	
"4p6.4d"	"2D"	"5/2"	"["	"26019"	"]+x"	
"4p5.(2P*).4d2.(1G)"	"2F*"	"5/2"	""	"956640"	""	
"4p5.(2P*).4d2.(1G)"	"2F*"	"7/2"	""	"1004416"	"+x"	
"4p5.(2P*).4d2.(3F)"	"2D*"	"5/2"	""	"997242"	"+x"	
"Cs XX (4p6 1S<0>)"	"Limit"	"---"	"("	"3839000"	")"	
