Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"3p6"	"1S"	"0"	""	"0"	""	
"Pu LXXVIII (3p5 2P*<3/2>)"	"Limit"	"---"	"("	"82494000"	")"	
