Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"1s"	"2S"	"1/2"	""	"0"	""	
"2p"	"2P*"	"1/2"	"("	"148298913"	")"	
"2p"	"2P*"	"3/2"	"("	"149508797.1"	")"	
"2s"	"2S"	"1/2"	"("	"148322570"	")"	
"3p"	"2P*"	"1/2"	"("	"176150760"	")"	
"3p"	"2P*"	"3/2"	"("	"176509870"	")"	
"3s"	"2S"	"1/2"	"("	"176157910"	")"	
"3d"	"2D"	"3/2"	"("	"176509215"	")"	
"3d"	"2D"	"5/2"	"("	"176623574"	")"	
""	"Limit"	"---"	"("	"198188260"	")"	
