Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"4f2.5s2.5p5"	"*"	""	""	"0"	""	
"Nd VII (4f2.5s2.5p4)"	"Limit"	"---"	"("	"676000"	")"	
