Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"5f3.6p6"	"4I*"	"9/2"	""	"0"	""	
"U V (5f2.6p6 3H<4>)"	"Limit"	"---"	""	"296000"	""	
