Configuration	Term	J	Prefix	Level (cm-1)	Suffix
"2s2.2p4"	"3P"	"2"	""	"0"	""	
"2s2.2p4"	"1S"	"0"	""	"498000"	""	
"2s.2p5"	"(1/2,3/2)*"	"2"	""	"14566000"	""	
"2s.2p5"	"(1/2,3/2)*"	"1"	""	"15250000"	""	
"W LXVIII (2p3 2P*<3/2>)"	"Limit"	"---"	"["	"131080000"	"]"	
